nationality,count
British,165
American,157
Italian,99
French,73
German,49
Brazilian,32
Argentine,24
Swiss,23
Belgian,23
South African,23
Japanese,19
Dutch,17
Australian,17
Spanish,15
Austrian,15
Canadian,14
Swedish,10
Finnish,9
New Zealander,9
Mexican,6
Irish,5
Danish,5
Portuguese,4
Rhodesian,4
Uruguayan,4
Monegasque,4
Russian,3
Venezuelan,3
East German,3
Colombian,3
Thai,2
Indian,2
Malaysian,1
Liechtensteiner,1
Polish,1
Indonesian,1
American-Italian,1
Hungarian,1
Czech,1
Chilean,1
Argentine-Italian,1
