,positionOrder
0,1
26,5
56,13
68,3
89,2
108,1
146,19
157,10
168,1
188,1
212,5
229,2
250,3
274,7
290,3
319,12
328,1
352,5
370,3
391,2
413,2
435,2
457,2
478,1
500,1
524,3
546,3
574,9
588,1
614,5
633,2
657,4
676,1
716,19
726,7
7572,20
7579,7
7598,6
7616,4
7641,9
7664,12
7685,13
7708,16
7730,18
7733,1
7754,2
7791,19
7804,12
7813,1
7835,3
7855,3
16084,19
20322,3
20349,6
20373,6
20393,2
20429,14
20444,5
20464,1
20488,1
20513,2
20537,2
20563,4
20603,20
20608,1
20654,23
20674,19
20684,5
20705,2
20731,4
20753,2
20777,2
20805,8
20822,1
20849,4
20871,2
20899,6
20940,24
20944,4
20968,4
20989,1
21016,4
21058,22
21064,4
21089,5
21113,5
21134,2
21163,7
21181,1
21226,22
21231,3
21255,3
21279,3
21308,8
21332,8
21353,5
21373,1
21415,19
21428,8
21468,24
21469,1
21515,23
21517,1
21564,24
21569,5
21598,10
21616,4
21657,21
21661,1
21704,20
21713,5
21733,3
21755,3
21779,5
21808,12
21822,4
21843,3
21866,4
21889,5
21907,1
21931,3
21959,9
21977,5
21999,5
22036,20
22044,6
22067,7
22086,4
22113,9
22145,19
22149,1
22171,1
22193,1
22215,1
22238,2
22275,17
22282,2
22303,1
22327,3
22349,3
22387,19
22391,1
22413,1
22435,1
22457,1
22478,1
22497,2
22514,1
22534,1
22553,2
22572,1
22592,1
22613,2
22634,3
22652,1
22673,2
22692,1
22717,6
22732,1
22752,1
22789,18
22792,1
22812,1
22831,1
22853,2
22873,2
22893,2
22913,2
22936,3
22962,7
22979,2
23020,21
23022,1
23044,1
23070,5
23088,1
23110,1
23132,1
23154,1
23178,3
23199,2
23222,3
23259,18
23266,3
23286,1
23308,1
23330,1
23352,1
23375,2
23394,1
23415,2
23437,4
23454,1
23480,7
23494,1
23518,5
23540,4
23557,1
23580,4
23597,1
23617,1
23637,1
23658,2
23677,1
23697,1
23725,9
23740,4
23758,2
23778,2
23799,3
23820,4
23837,1
23857,1
23879,3
23901,5
23917,1
23952,16
23958,2
23977,1
23997,1
24018,2
24037,1
24057,1
24077,1
24097,1
24119,3
24140,4
24157,1
24177,1
24198,2
24217,1
24237,1
24258,2
24277,1
24300,1
24320,1
24340,1
24364,5
24380,1
24408,9
24420,1
24441,2
24462,3
24483,4
24500,1
24522,3
24540,1
24562,2
24587,7
24601,1
24623,4
24640,1
24660,1
24680,1
24701,2
24720,1
24740,1
24766,7
24780,1
24802,3
24820,1
24840,1
24860,1
24880,1
24900,1
24942,3
